m/z;Intensity
206.34;37.8
206.3535;22
206.4072;27.8
206.4453;26.9
206.4691;22.8
206.5024;27.3
206.6708;21.7
206.8522;50.1
206.9109;23.7
206.9858;101.1
206.9968;217.5
207.0045;88.1
207.0119;890.4
207.0292;68.2
207.0346;57.9
207.0427;1864.6
207.0507;233.1
207.0685;365.8
207.0773;215.3
207.1022;202.4
207.1387;51217.6
207.1642;27.6
207.1763;54.1
207.2128;28.4
207.2416;33.3
207.2585;21.2
207.2612;25.5
207.2638;20.7
207.3348;59.4
207.3558;21
207.5671;21.5
207.6229;36.2
207.7772;29.7
207.8791;27.5
207.9166;37.1
207.9693;29.1
208.0168;3958.5
208.0315;34.4
208.0344;33.6
208.0364;29.7
208.0602;31.5
208.0743;4104.7
208.0922;25.7
208.0969;41.5
208.1045;25.8
208.1158;28.1
208.1421;5574.5
208.2406;23.4
